client_id,name,age,sexe,opening_date,status
CLI0001,Julie Durand,81,M,2023-03-26,active
CLI0002,Laura Bernard,58,M,2022-10-30,active
CLI0003,Thomas Moreau,18,M,2025-03-07,active
CLI0004,Sophie Moreau,64,M,2025-08-03,active
CLI0005,Jean Petit,52,F,2021-06-20,active
CLI0006,Laura Bernard,21,F,2022-09-07,active
CLI0007,Nicolas Martin,70,F,2021-01-16,active
CLI0008,Laura Bernard,37,M,2025-08-03,active
CLI0009,Thomas Dubois,78,F,2022-09-25,active
CLI0010,Thomas Petit,83,M,2021-07-13,active
CLI0011,Thomas Richard,82,F,2022-12-30,active
CLI0012,Pierre Laurent,80,F,2021-08-31,active
CLI0013,Julie Richard,66,F,2025-02-08,active
CLI0014,Sophie Laurent,67,M,2022-08-14,active
CLI0015,Julie Dubois,66,M,2024-04-30,active
CLI0016,Laura Martin,34,M,2025-08-19,active
CLI0017,Marie Dubois,30,F,2025-11-24,active
CLI0018,Luc Durand,37,M,2020-11-02,inactive
CLI0019,Julie Laurent,68,F,2020-11-24,active
CLI0020,Julie Dubois,22,F,2020-10-07,active
CLI0021,Sophie Bernard,73,F,2021-02-07,active
CLI0022,Laura Thomas,56,M,2020-04-28,active
CLI0023,Jean Robert,63,F,2024-03-15,active
CLI0024,Sophie Moreau,70,M,2022-01-07,active
CLI0025,Marie Laurent,66,M,2022-09-13,active
CLI0026,Sophie Dubois,50,M,2025-02-25,inactive
CLI0027,Laura Robert,38,M,2020-10-29,active
CLI0028,Emma Robert,72,F,2022-10-21,active
CLI0029,Sophie Durand,79,F,2021-03-12,active
CLI0030,Emma Richard,55,F,2023-04-24,active
CLI0031,Pierre Martin,24,F,2025-07-27,inactive
CLI0032,Emma Richard,46,M,2022-02-17,active
CLI0033,Luc Bernard,23,F,2023-06-19,active
CLI0034,Emma Richard,34,M,2021-01-04,active
CLI0035,Thomas Thomas,43,F,2021-06-25,inactive
CLI0036,Nicolas Moreau,52,F,2021-11-04,inactive
CLI0037,Pierre Richard,32,F,2025-04-02,active
CLI0038,Sophie Durand,64,M,2021-01-04,active
CLI0039,Pierre Moreau,33,M,2025-02-05,active
CLI0040,Emma Durand,65,F,2021-03-19,active
CLI0041,Jean Laurent,59,F,2022-06-25,active
CLI0042,Laura Robert,70,M,2021-04-22,active
CLI0043,Jean Robert,81,M,2021-04-20,active
CLI0044,Nicolas Thomas,67,M,2025-02-01,active
CLI0045,Emma Thomas,71,F,2021-02-09,active
CLI0046,Pierre Martin,65,F,2022-06-08,active
CLI0047,Sophie Richard,30,F,2024-02-13,active
CLI0048,Jean Durand,53,F,2022-02-16,inactive
CLI0049,Marie Petit,20,F,2020-07-26,active
CLI0050,Luc Laurent,44,M,2020-10-08,active
CLI0051,Emma Petit,47,M,2023-09-07,active
CLI0052,Pierre Thomas,34,M,2022-10-23,active
CLI0053,Jean Thomas,19,M,2024-01-07,active
CLI0054,Jean Thomas,51,F,2020-08-02,inactive
CLI0055,Nicolas Bernard,26,F,2025-05-04,active
CLI0056,Nicolas Laurent,31,F,2025-01-25,active
CLI0057,Emma Martin,84,M,2023-05-20,active
CLI0058,Jean Dubois,69,M,2024-10-12,active
CLI0059,Laura Bernard,28,F,2023-08-12,active
CLI0060,Marie Thomas,53,M,2023-08-24,inactive
CLI0061,Laura Moreau,73,F,2021-02-10,active
CLI0062,Thomas Dubois,47,M,2024-08-21,active
CLI0063,Thomas Durand,30,F,2023-07-04,active
CLI0064,Pierre Richard,37,F,2025-04-26,active
CLI0065,Marie Bernard,73,M,2021-01-30,active
CLI0066,Nicolas Martin,60,M,2021-05-15,active
CLI0067,Thomas Martin,54,F,2023-07-03,active
CLI0068,Emma Moreau,45,M,2021-09-25,active
CLI0069,Sophie Bernard,62,F,2024-02-14,active
CLI0070,Emma Petit,72,F,2020-04-17,active
CLI0071,Jean Thomas,52,F,2023-06-19,active
CLI0072,Jean Thomas,36,F,2024-06-29,active
